x,u
0.8285357,0.0002625492
0.82978725,0.00026263302
0.8310388,0.00026274807
0.83229035,0.00026289836
0.8335419,0.00026309196
0.8347935,0.00026333678
0.836045,0.00026363935
0.8372966,0.00026400998
0.8385482,0.00026445754
0.83979976,0.0002649927
0.84105134,0.00026562632
0.84230286,0.0002663687
0.84355444,0.00026723274
0.844806,0.00026822873
0.8460576,0.00026936762
0.8473091,0.0002706597
0.8485607,0.00027211226
0.84981227,0.00027373203
0.85106385,0.00027552113
0.85231537,0.0002774788
0.85356694,0.00027959963
0.8548185,0.00028187415
0.8560701,0.0002842868
0.8573217,0.0002868183
0.8585732,0.0002894456
0.8598248,0.0002921412
0.86107635,0.00029487623
0.86232793,0.0002976211
0.86357945,0.00030034623
0.86483103,0.00030302414
0.8660826,0.0003056295
0.8673342,0.00030814105
0.8685857,0.0003105405
0.8698373,0.0003128159
0.87108886,0.00031495676
0.87234044,0.00031695844
0.873592,0.00031881852
0.87484354,0.0003205384
0.8760951,0.00032212178
0.8773467,0.0003235737
0.8785983,0.00032490146
0.8798498,0.00032611194
0.88110137,0.00032721434
0.88235295,0.0003282168
0.8836045,0.0003291282
0.88485605,0.00032995746
0.8861076,0.00033071204
0.8873592,0.0003314
0.8886108,0.00033202907
0.8898623,0.00033260597
0.8911139,0.00033313665
0.89236546,0.00033362725
0.89361703,0.00033408334
0.8948686,0.00033450886
0.89612013,0.00033490948
0.8973717,0.00033528855
0.8986233,0.0003356496
0.89987487,0.00033599662
0.9011264,0.00033633187
0.90237796,0.00033665847
0.90362954,0.0003369787
0.9048811,0.00033729538
0.90613264,0.0003376091
0.9073842,0.00033792318
0.9086358,0.00033823782
0.9098874,0.00033855537
0.91113895,0.00033887738
0.9123905,0.0003392039
0.91364205,0.00033953652
0.9148936,0.00033987564
0.9161452,0.00034022253
0.9173967,0.00034057754
0.9186483,0.00034094037
0.9198999,0.00034131203
0.92115146,0.0003416932
0.922403,0.0003420826
0.92365456,0.00034248157
0.92490613,0.0003428885
0.9261577,0.00034330506
0.9274093,0.00034372899
0.9286608,0.00034416094
0.9299124,0.00034459998
0.93116397,0.00034504652
0.93241554,0.00034549888
0.93366706,0.00034595706
0.93491864,0.00034642016
0.9361702,0.00034688716
0.9374218,0.00034735815
0.9386733,0.00034783207
0.9399249,0.00034830795
0.9411765,0.0003487858
0.94242805,0.000349264
0.9436796,0.00034974283
0.94493115,0.0003502217
0.9461827,0.0003506995
0.9474343,0.00035117666
0.9486859,0.00035165178
0.9499374,0.00035212588
0.951189,0.00035259762
0.95244056,0.00035306724
0.95369214,0.0003535352
0.95494366,0.00035400037
0.95619524,0.0003544635
0.9574468,0.00035492418
0.9586984,0.0003553831
0.9599499,0.00035584025
0.9612015,0.00035629558
0.96245307,0.00035675016
0.96370465,0.0003572033
0.9649562,0.00035765563
0.96620774,0.00035810823
0.9674593,0.00035856105
0.9687109,0.0003590141
0.9699625,0.00035946842
0.971214,0.00035992436
0.9724656,0.00036038255
0.97371715,0.00036084338
0.97496873,0.00036130723
0.97622025,0.00036177444
0.9774718,0.000362246
0.9787234,0.0003627227
0.979975,0.00036320416
0.9812265,0.00036369145
0.9824781,0.00036418563
0.98372966,0.0003646867
0.98498124,0.00036519545
0.9862328,0.0003657115
0.98748434,0.00036623626
0.9887359,0.0003667702
0.9899875,0.0003673143
0.9912391,0.00036786761
0.9924906,0.00036843194
0.99374217,0.00036900802
0.99499375,0.00036959557
0.9962453,0.0003701949
0.99749684,0.00037080722
0.9987484,0.0003714326
1.0,0.00037207175
