x,rho_exact,rho_fdm,rho_present
4.360000e-01,1.000000e+00,1.000000e+00,1.000000e+00
4.400000e-01,1.000000e+00,1.000000e+00,1.000000e+00
4.440000e-01,1.000000e+00,1.000000e+00,1.000000e+00
4.480000e-01,1.000000e+00,1.000000e+00,1.000000e+00
4.520000e-01,1.000000e+00,1.000000e+00,1.000000e+00
4.560000e-01,1.000000e+00,1.000000e+00,1.000000e+00
4.600000e-01,1.000000e+00,1.000000e+00,1.000000e+00
4.640000e-01,1.000000e+00,1.000000e+00,1.000000e+00
4.680000e-01,1.000000e+00,1.000000e+00,9.999999e-01
4.720000e-01,1.000000e+00,1.000000e+00,9.999997e-01
4.760000e-01,1.000000e+00,1.000000e+00,9.999995e-01
4.800000e-01,1.000000e+00,1.000000e+00,9.999993e-01
4.840000e-01,1.000000e+00,1.000000e+00,9.999992e-01
4.880000e-01,1.000000e+00,1.000000e+00,9.999994e-01
4.920000e-01,1.000000e+00,1.000000e+00,1.000000e+00
4.960000e-01,1.000000e+00,1.000000e+00,1.000001e+00
5.000000e-01,1.000000e+00,1.000000e+00,1.000003e+00
5.040000e-01,1.000000e+00,1.000000e+00,1.000006e+00
5.080000e-01,1.000000e+00,1.000000e+00,1.000008e+00
5.120000e-01,1.000000e+00,1.000000e+00,1.000009e+00
5.160000e-01,1.000000e+00,1.000000e+00,1.000006e+00
5.200000e-01,1.000000e+00,1.000000e+00,9.999987e-01
5.240000e-01,1.000000e+00,1.000000e+00,9.999851e-01
5.280000e-01,1.000000e+00,1.000000e+00,9.999661e-01
5.320000e-01,1.000000e+00,1.000000e+00,9.999446e-01
5.360000e-01,1.000000e+00,1.000000e+00,9.999261e-01
5.400000e-01,1.000000e+00,1.000000e+00,9.999183e-01
5.440000e-01,1.000000e+00,1.000000e+00,9.999326e-01
5.480000e-01,1.000000e+00,1.000000e+00,9.999830e-01
5.520000e-01,1.000000e+00,1.000000e+00,1.000085e+00
5.560000e-01,1.000000e+00,1.000000e+00,1.000243e+00
5.600000e-01,1.000000e+00,1.000000e+00,1.000473e+00
5.640000e-01,1.000000e+00,1.000000e+00,1.000725e+00
5.680000e-01,1.000000e+00,1.000000e+00,1.000857e+00
5.720000e-01,1.000000e+00,1.000000e+00,1.000803e+00
5.760000e-01,1.000000e+00,1.000000e+00,1.000537e+00
5.800000e-01,1.000000e+00,1.000000e+00,1.000019e+00
5.840000e-01,1.000000e+00,1.000000e+00,9.992803e-01
5.880000e-01,1.000000e+00,1.000000e+00,9.983857e-01
5.920000e-01,1.000000e+00,1.000000e+00,9.973903e-01
5.960000e-01,1.000000e+00,1.000000e+00,9.967109e-01
6.000000e-01,1.000000e+00,1.000000e+00,9.965615e-01
6.040000e-01,1.000000e+00,1.000000e+00,9.970258e-01
6.080000e-01,1.000000e+00,1.000000e+00,9.985103e-01
6.120000e-01,1.000000e+00,1.000000e+00,1.001556e+00
6.160000e-01,1.000000e+00,1.000000e+00,1.006199e+00
6.200000e-01,1.000000e+00,9.999999e-01,1.011967e+00
6.240000e-01,1.000000e+00,9.999993e-01,1.021680e+00
6.280000e-01,1.000000e+00,1.000008e+00,1.028010e+00
6.320000e-01,1.000000e+00,9.999731e-01,1.037590e+00
6.360000e-01,1.000000e+00,9.998244e-01,1.037668e+00
6.400000e-01,1.000000e+00,1.001717e+00,1.067466e+00
6.440000e-01,1.000000e+00,9.907800e-01,9.240350e-01
6.480000e-01,1.000000e+00,7.655774e-01,3.902238e-01
6.520000e-01,0.000000e+00,4.212038e-02,-5.455322e-02
6.560000e-01,0.000000e+00,3.482530e-07,-6.876557e-02
6.600000e-01,0.000000e+00,3.901117e-25,-3.953955e-02
6.640000e-01,0.000000e+00,1.991693e-88,-2.617440e-02
6.680000e-01,0.000000e+00,1.289420e-311,-1.874631e-02
6.720000e-01,0.000000e+00,0.000000e+00,-1.340765e-02
6.760000e-01,0.000000e+00,0.000000e+00,-9.409292e-03
6.800000e-01,0.000000e+00,0.000000e+00,-6.473530e-03
6.840000e-01,0.000000e+00,0.000000e+00,-4.372191e-03
6.880000e-01,0.000000e+00,0.000000e+00,-2.902497e-03
6.920000e-01,0.000000e+00,0.000000e+00,-1.895724e-03
6.960000e-01,0.000000e+00,0.000000e+00,-1.219308e-03
7.000000e-01,0.000000e+00,0.000000e+00,-7.732811e-04
7.040000e-01,0.000000e+00,0.000000e+00,-4.844904e-04
7.080000e-01,0.000000e+00,0.000000e+00,-3.007192e-04
7.120000e-01,0.000000e+00,0.000000e+00,-1.855606e-04
7.160000e-01,0.000000e+00,0.000000e+00,-1.142561e-04
7.200000e-01,0.000000e+00,0.000000e+00,-7.042246e-05
7.240000e-01,0.000000e+00,0.000000e+00,-4.352593e-05
7.280000e-01,0.000000e+00,0.000000e+00,-2.697417e-05
7.320000e-01,0.000000e+00,0.000000e+00,-1.672872e-05
7.360000e-01,0.000000e+00,0.000000e+00,-1.034693e-05
7.400000e-01,0.000000e+00,0.000000e+00,-6.355754e-06
7.440000e-01,0.000000e+00,0.000000e+00,-3.860596e-06
7.480000e-01,0.000000e+00,0.000000e+00,-2.309535e-06
