x,rho_exact,rho_fdm,rho_present,rho_muscl,u_exact,u_fdm,u_present,u_muscl,P_exact,P_fdm,P_present,P_muscl
8.93403207e-01,1.25000000e-01,1.25000000e-01,1.25000033e-01,1.25000000e-01,0.00000000e+00,1.29291564e-13,3.82008376e-07,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000056e-01,1.00000000e-01
8.96215835e-01,1.25000000e-01,1.25000000e-01,1.25000019e-01,1.25000000e-01,0.00000000e+00,5.58966044e-14,2.29738429e-07,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000033e-01,1.00000000e-01
9.00883614e-01,1.25000000e-01,1.25000000e-01,1.25000013e-01,1.25000000e-01,0.00000000e+00,1.73784476e-14,1.47313319e-07,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000021e-01,1.00000000e-01
9.02849415e-01,1.25000000e-01,1.25000000e-01,1.25000010e-01,1.25000000e-01,0.00000000e+00,8.99385080e-15,9.50544602e-08,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000013e-01,1.00000000e-01
9.06550243e-01,1.25000000e-01,1.25000000e-01,1.25000010e-01,1.25000000e-01,0.00000000e+00,3.36451454e-15,5.85541105e-08,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000008e-01,1.00000000e-01
9.12361667e-01,1.25000000e-01,1.25000000e-01,1.25000002e-01,1.25000000e-01,0.00000000e+00,7.84462429e-16,2.50532469e-08,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000003e-01,1.00000000e-01
9.17597771e-01,1.25000000e-01,1.25000000e-01,1.24999995e-01,1.25000000e-01,0.00000000e+00,8.33026913e-17,5.79702283e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000001e-01,1.00000000e-01
9.19641639e-01,1.25000000e-01,1.25000000e-01,1.24999996e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-1.47936198e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,9.99999995e-02,1.00000000e-01
9.24197573e-01,1.25000000e-01,1.25000000e-01,1.25000000e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-2.12271288e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,9.99999992e-02,1.00000000e-01
9.26876694e-01,1.25000000e-01,1.25000000e-01,1.25000002e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-2.14706820e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,9.99999992e-02,1.00000000e-01
9.31195078e-01,1.25000000e-01,1.25000000e-01,1.24999999e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-1.68688834e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,9.99999994e-02,1.00000000e-01
9.37244915e-01,1.25000000e-01,1.25000000e-01,1.25000000e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-1.52565917e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,9.99999997e-02,1.00000000e-01
9.40105816e-01,1.25000000e-01,1.25000000e-01,1.24999999e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-1.95164411e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,9.99999998e-02,1.00000000e-01
9.42975477e-01,1.25000000e-01,1.25000000e-01,1.25000001e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-2.44816438e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,9.99999998e-02,1.00000000e-01
9.47002980e-01,1.25000000e-01,1.25000000e-01,1.25000001e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-3.10140781e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,9.99999998e-02,1.00000000e-01
9.51473751e-01,1.25000000e-01,1.25000000e-01,1.25000001e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-3.92903792e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,9.99999998e-02,1.00000000e-01
9.56396351e-01,1.25000000e-01,1.25000000e-01,1.25000001e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-4.52691894e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,9.99999999e-02,1.00000000e-01
9.61248084e-01,1.25000000e-01,1.25000000e-01,1.25000000e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-4.71718697e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000000e-01,1.00000000e-01
9.64243829e-01,1.25000000e-01,1.25000000e-01,1.24999998e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-4.50310155e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000000e-01,1.00000000e-01
9.68553261e-01,1.25000000e-01,1.25000000e-01,1.25000000e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-3.86536905e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000000e-01,1.00000000e-01
9.71302792e-01,1.25000000e-01,1.25000000e-01,1.24999999e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-2.79595037e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000001e-01,1.00000000e-01
9.76428860e-01,1.25000000e-01,1.25000000e-01,1.24999999e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-1.75505838e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000001e-01,1.00000000e-01
9.80577236e-01,1.25000000e-01,1.25000000e-01,1.25000000e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-1.85542500e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000001e-01,1.00000000e-01
9.84823180e-01,1.25000000e-01,1.25000000e-01,1.24999999e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-3.14153814e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000001e-01,1.00000000e-01
9.89558107e-01,1.25000000e-01,1.25000000e-01,1.25000001e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-5.38129309e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000001e-01,1.00000000e-01
9.93444932e-01,1.25000000e-01,1.25000000e-01,1.25000004e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-8.96647508e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000000e-01,1.00000000e-01
9.95858339e-01,1.25000000e-01,1.25000000e-01,1.25000003e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-1.51492291e-08,0.00000000e+00,1.00000000e-01,1.00000000e-01,9.99999992e-02,1.00000000e-01
1.00084379e+00,1.25000000e-01,1.25000000e-01,1.24999997e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-2.29215916e-08,0.00000000e+00,1.00000000e-01,1.00000000e-01,9.99999982e-02,1.00000000e-01
1.00400000e+00,1.25000000e-01,1.25000000e-01,1.24999997e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-2.29215916e-08,0.00000000e+00,1.00000000e-01,1.00000000e-01,9.99999982e-02,1.00000000e-01
