x,rho,u,p
0.33291614,0.9559702,0.056087233,0.92655516
0.33416772,0.9505953,0.062679805,0.91918397
0.33541927,0.9454213,0.069058456,0.91207784
0.33667085,0.9404695,0.07519243,0.9052653
0.3379224,0.93573695,0.08107928,0.89874434
0.33917397,0.9311913,0.08675275,0.892477
0.34042552,0.92677164,0.09228239,0.8863888
0.3416771,0.9223949,0.09776751,0.88037604
0.34292865,0.91796654,0.10332403,0.87431896
0.34418023,0.9133913,0.109074034,0.8680936
0.34543177,0.9085827,0.11513112,0.86158663
0.34668335,0.90347075,0.1215925,0.85470307
0.34793493,0.8980068,0.12852994,0.8473766
0.34918648,0.89216906,0.135982,0.8395771
0.35043806,0.88596994,0.14394304,0.8313202
0.3516896,0.87946314,0.15235195,0.82267886
0.3529412,0.8727478,0.16108575,0.8137871
0.35419273,0.8659654,0.16996005,0.80483705
0.3554443,0.85928255,0.17875406,0.7960521
0.35669586,0.8528593,0.18724835,0.7876483
0.35794744,0.8468113,0.19527921,0.77978146
0.359199,0.8411853,0.20277512,0.7725146
0.36045057,0.835951,0.20977035,0.765807
0.3617021,0.83102137,0.2163817,0.75953907
0.3629537,0.8262883,0.22276214,0.7535587
0.36420527,0.8216528,0.22905669,0.74772185
0.36545682,0.8170409,0.23537624,0.74191666
0.3667084,0.81239957,0.24179652,0.7360631
0.36795995,0.80768424,0.24837166,0.73010176
0.36921152,0.8028479,0.25514886,0.7239801
0.37046307,0.7978452,0.2621709,0.71765476
0.37171465,0.79265267,0.26945618,0.71111125
0.3729662,0.7873003,0.27696982,0.704392
0.37421778,0.7818762,0.2846099,0.6976049
0.37546933,0.7764991,0.2922326,0.69089407
0.3767209,0.77126145,0.29971483,0.6843771
0.37797245,0.7661946,0.30700096,0.6781024
0.37922403,0.7612845,0.31409636,0.6720573
0.38047558,0.7565098,0.3210294,0.6662081
0.38172716,0.75186515,0.32781872,0.66052926
0.38297874,0.7473567,0.3344731,0.65500754
0.3842303,0.74298626,0.34100127,0.64963
0.38548186,0.7387432,0.3474221,0.6443774
0.3867334,0.73460567,0.35376328,0.6392248
0.387985,0.7305456,0.36005738,0.6341434
0.38923654,0.7265353,0.36633486,0.62910724
0.39048812,0.72254914,0.3726247,0.6240919
0.39173967,0.71856636,0.37895027,0.6190782
0.39299124,0.71456903,0.38533354,0.6140482
0.3942428,0.7105435,0.39179158,0.6089883
0.39549437,0.70647764,0.3983408,0.60388553
0.39674592,0.70236266,0.40499428,0.5987303
0.3979975,0.698192,0.41176203,0.5935152
0.39924905,0.6939626,0.41864973,0.58823746
0.40050063,0.6896746,0.42565724,0.5828975
0.4017522,0.68533283,0.43277857,0.577502
0.40300375,0.6809464,0.44000074,0.5720625
0.40425533,0.6765281,0.44730368,0.5665959
0.40550688,0.6720954,0.45466062,0.5611239
0.40675846,0.6676682,0.46203974,0.55567163
0.40801,0.6632688,0.46940443,0.550267
0.40926158,0.6589203,0.4767165,0.54493856
0.41051313,0.6546459,0.48393664,0.539715
0.4117647,0.6504668,0.49102792,0.5346224
0.41301626,0.64640224,0.49795613,0.5296834
0.41426784,0.64246756,0.50469196,0.5249173
0.4155194,0.63867474,0.51121235,0.52033824
0.41677096,0.63503176,0.5174992,0.5159562
0.4180225,0.6315426,0.5235418,0.5117758
0.4192741,0.6282076,0.5293348,0.50779825
0.42052567,0.62502396,0.53487796,0.5040206
0.42177722,0.6219863,0.54017526,0.5004379
0.4230288,0.619087,0.5452347,0.49704245
0.42428035,0.61631715,0.5500659,0.49382585
0.42553192,0.61366725,0.5546803,0.49077892
0.42678347,0.61112785,0.55908835,0.48789355
0.42803505,0.60869014,0.5633005,0.48516214
0.4292866,0.6063475,0.5673231,0.48258
0.43053818,0.6040961,0.57115793,0.4801456
0.43178973,0.6019372,0.5747987,0.47786295
0.4330413,0.5998788,0.57822824,0.47574323
0.43429285,0.597939,0.5814117,0.4738075
0.43554443,0.59614867,0.58429396,0.4720901
0.436796,0.5945561,0.5867917,0.4706425
0.43804756,0.5932276,0.5887889,0.46953416
0.43929914,0.5922495,0.5901397,0.4688527
0.44055068,0.59172136,0.5906756,0.4686972
0.44180226,0.5917465,0.5902267,0.4691655
0.4430538,0.5924135,0.58865595,0.47033387
0.4443054,0.59377646,0.58589506,0.47223514
0.44555694,0.5958363,0.5819802,0.4748394
0.44680852,0.59853107,0.5770669,0.4780467
0.44806007,0.60173374,0.57142556,0.48169085
0.44931164,0.6052623,0.56540984,0.48555607
0.4505632,0.60889786,0.55940765,0.48940328
0.45181477,0.61241347,0.5537797,0.49300367
0.45306632,0.6156081,0.5488034,0.49617478
0.4543179,0.61833984,0.544636,0.49880958
0.45556948,0.62054324,0.54131347,0.50088525
0.45682102,0.62222797,0.5387713,0.5024517
0.4580726,0.62345874,0.536885,0.50360185
0.45932415,0.62432903,0.5355085,0.5044412
0.46057573,0.6249365,0.534502,0.50506634
0.46182728,0.62536705,0.533749,0.50555235
0.46307886,0.6256885,0.5331618,0.50595236
0.4643304,0.62594837,0.53267896,0.5062997
0.46558198,0.62617713,0.5322617,0.5066132
0.46683353,0.62639207,0.5318868,0.50690204
0.4680851,0.62660056,0.5315426,0.5071698
0.46933666,0.6268044,0.53122413,0.50741625
0.47058824,0.6270006,0.5309311,0.5076399
0.4718398,0.627185,0.5306654,0.5078386
0.47309136,0.62735116,0.53042984,0.5080103
0.47434294,0.6274929,0.5302282,0.5081534
0.4755945,0.6276036,0.5300639,0.5082663
0.47684607,0.62767667,0.5299412,0.5083482
0.47809762,0.62770516,0.52986336,0.50839823
0.4793492,0.6276825,0.52983516,0.5084159
0.48060074,0.6276012,0.52986085,0.50840014
0.48185232,0.6274533,0.52994615,0.5083509
0.48310387,0.6272296,0.5300978,0.50826657
0.48435545,0.62691903,0.53032434,0.50814563
0.485607,0.6265086,0.5306371,0.5079859
0.48685858,0.62598175,0.53104997,0.5077837
0.48811013,0.62531805,0.53158224,0.507534
0.4893617,0.6244918,0.5322578,0.50723
0.49061325,0.62347037,0.5331082,0.50686204
0.49186483,0.6222128,0.53417426,0.5064177
0.4931164,0.6206674,0.5355085,0.5058798
0.49436796,0.6187698,0.5371774,0.5052263
0.49561954,0.61644036,0.53926563,0.5044287
0.49687108,0.61358213,0.5418782,0.50345063
0.49812266,0.6100779,0.545146,0.5022468
0.4993742,0.60579175,0.5492264,0.50076187
0.5006258,0.60056955,0.5543064,0.49893022
0.50187737,0.59424525,0.5606011,0.49667662
0.5031289,0.5866547,0.5683469,0.4939192
0.50438046,0.57765186,0.57779044,0.49057406
0.50563204,0.5671396,0.5891621,0.48656535
0.5068836,0.55510193,0.6026459,0.48183712
0.50813514,0.54163605,0.61833376,0.4763679
0.5093867,0.5269727,0.6361835,0.47018522
0.5106383,0.51147777,0.6559787,0.4633763
0.5118899,0.4956189,0.67731625,0.45608917
0.51314145,0.4799085,0.6996313,0.44852042
0.514393,0.46483254,0.7222591,0.4408942
0.51564455,0.45078695,0.7445227,0.4334312
0.5168961,0.43804207,0.7658174,0.42632493
0.5181477,0.42673323,0.78567725,0.41972053
0.5193992,0.41687867,0.80380213,0.41370934
0.5206508,0.40840748,0.820056,0.40832976
0.5219024,0.40119672,0.8344339,0.40357912
0.52315396,0.3950953,0.8470276,0.3994239
0.5244055,0.38994643,0.85798895,0.3958118
0.52565706,0.3855998,0.86750054,0.39268148
0.52690864,0.3819196,0.8757516,0.38996947
0.5281602,0.37878674,0.88292503,0.38761458
0.5294118,0.37610027,0.8891892,0.38556117
0.5306633,0.37377572,0.8946925,0.3837597
0.5319149,0.3717437,0.8995638,0.38216746
0.53316647,0.3699482,0.9039122,0.38074812
0.53441805,0.36834428,0.9078283,0.37947187
0.53566957,0.3668963,0.9113863,0.37831378
0.53692114,0.36557615,0.914648,0.37725338
0.5381727,0.364362,0.91766256,0.37627432
0.5394243,0.36323667,0.9204692,0.37536335
0.5406758,0.3621869,0.9231006,0.37450972
0.5419274,0.36120257,0.92558134,0.37370488
0.543179,0.36027583,0.9279325,0.37294176
0.54443055,0.35940027,0.9301697,0.37221515
0.54568213,0.3585713,0.9323062,0.37152034
0.54693365,0.35778493,0.93435204,0.3708539
0.5481852,0.35703784,0.93631613,0.3702128
0.5494368,0.3563274,0.938205,0.36959463
0.5506884,0.35565156,0.9400246,0.36899734
0.5519399,0.355008,0.94177985,0.36841932
0.5531915,0.35439482,0.94347477,0.36785907
0.55444306,0.35381025,0.94511306,0.36731556
0.55569464,0.3532526,0.94669807,0.3667873
0.55694616,0.35272035,0.9482323,0.36627355
0.55819774,0.35221192,0.94971836,0.36577347
0.5594493,0.35172603,0.9511591,0.3652864
0.5607009,0.35126093,0.9525565,0.3648113
0.5619524,0.35081556,0.9539126,0.36434782
0.563204,0.3503885,0.9552293,0.3638952
0.56445557,0.34997863,0.95650876,0.36345297
0.56570715,0.3495847,0.95775235,0.3630207
0.5669587,0.3492058,0.95896184,0.3625978
0.56821024,0.34884077,0.9601389,0.36218378
0.5694618,0.34848866,0.96128464,0.3617784
0.5707134,0.34814876,0.96240056,0.3613813
0.571965,0.34782016,0.9634882,0.3609921
0.5732165,0.347502,0.96454847,0.36061034
0.5744681,0.34719375,0.9655825,0.36023584
0.57571965,0.34689465,0.9665917,0.35986817
0.57697123,0.34660423,0.96757674,0.35950735
0.57822275,0.3463218,0.96853864,0.35915285
0.57947433,0.346047,0.96947825,0.3588045
0.5807259,0.34577918,0.9703964,0.35846213
0.5819775,0.34551817,0.9712939,0.35812545
0.58322906,0.3452634,0.97217166,0.35779437
0.5844806,0.3450146,0.97302973,0.35746855
0.58573216,0.3447714,0.97386944,0.35714787
0.58698374,0.34453344,0.9746913,0.35683203
0.5882353,0.3443005,0.97549534,0.35652116
0.58948684,0.34407225,0.9762825,0.3562148
0.5907384,0.34384856,0.97705317,0.3559128
0.59199,0.34362915,0.9778081,0.35561517
0.5932416,0.3434138,0.97854674,0.3553217
0.5944931,0.34320235,0.9792707,0.3550321
0.59574467,0.3429946,0.9799795,0.35474637
0.59699625,0.34279034,0.98067415,0.35446435
0.5982478,0.34258947,0.9813545,0.35418597
0.59949934,0.34239185,0.982021,0.35391095
0.6007509,0.34219724,0.98267376,0.35363916
0.6020025,0.3420056,0.9833132,0.35337067
0.6032541,0.34181678,0.98393965,0.3531051
0.60450566,0.34163058,0.98455334,0.35284257
0.6057572,0.34144706,0.9851543,0.3525828
0.60700876,0.34126595,0.9857428,0.35232574
0.60826033,0.34108716,0.9863192,0.3520713
0.6095119,0.34091067,0.9868835,0.3518194
0.61076343,0.3407365,0.98743594,0.3515698
0.612015,0.34056428,0.9879768,0.35132256
0.6132666,0.34039402,0.9885057,0.3510774
0.61451817,0.34022576,0.9890237,0.35083437
0.6157697,0.34005922,0.9895301,0.3505933
0.61702126,0.33989456,0.9900254,0.35035425
0.61827284,0.33973145,0.99050987,0.3501169
0.6195244,0.33957008,0.9909831,0.3498814
0.620776,0.3394101,0.9914459,0.3496473
0.6220275,0.33925164,0.9918976,0.34941497
0.6232791,0.33909464,0.992339,0.349184
0.6245307,0.3389389,0.99276996,0.3489544
0.62578225,0.33878446,0.99319017,0.3487262
0.62703377,0.33863118,0.99360013,0.3484992
0.62828535,0.338479,0.99399984,0.34827328
0.6295369,0.3383279,0.9943894,0.34804848
0.6307885,0.33817786,0.99476874,0.3478246
0.63204,0.33802876,0.99513805,0.34760165
0.6332916,0.33788055,0.99549735,0.34737965
0.6345432,0.33773315,0.99584675,0.34715822
0.63579476,0.33758643,0.99618626,0.3469376
0.63704634,0.33744043,0.99651575,0.34671742
0.63829786,0.33729511,0.9968355,0.34649795
0.63954943,0.33715034,0.99714553,0.34627894
0.640801,0.3370061,0.9974457,0.3460601
0.6420526,0.33686233,0.99773633,0.34584165
0.6433041,0.33671892,0.9980171,0.34562346
0.6445557,0.33657578,0.9982885,0.34540534
0.64580727,0.3364329,0.99854994,0.3451873
0.64705884,0.33629015,0.99880195,0.34496924
0.64831036,0.3361476,0.9990443,0.34475106
0.64956194,0.33600503,0.999277,0.34453267
0.6508135,0.33586243,0.99950016,0.34431386
0.6520651,0.3357197,0.9997134,0.34409472
0.6533166,0.33557686,0.9999175,0.3438752
0.6545682,0.33543384,1.0001116,0.34365502
0.6558198,0.33529037,1.0002962,0.34343413
0.65707135,0.3351464,1.0004711,0.34321252
0.65832293,0.33500212,1.0006362,0.34299004
0.65957445,0.33485723,1.0007913,0.34276667
0.660826,0.33471152,1.0009366,0.34254196
0.6620776,0.33456516,1.001072,0.34231606
0.6633292,0.3344181,1.0011973,0.34208894
0.6645807,0.33426994,1.0013125,0.34186026
0.6658323,0.33412087,1.0014175,0.34163016
0.66708386,0.33397064,1.0015117,0.34139815
0.66833544,0.3338193,1.0015957,0.3411644
