x,rho_exact,rho_fdm,rho_present,rho_muscl_tvd,u_exact,u_fdm,u_present,u_muscl_tvd,P_exact,P_fdm,P_present,P_muscl_tvd
2.72000000e-01,1.00000000e+00,9.96965082e-01,9.97565148e-01,9.99999379e-01,0.00000000e+00,3.59432027e-03,2.88018888e-03,7.34238059e-07,1.00000000e+00,9.95754987e-01,9.96597360e-01,9.99999131e-01
2.76000000e-01,1.00000000e+00,9.95700460e-01,9.96385403e-01,9.99998202e-01,0.00000000e+00,5.09415275e-03,4.28012951e-03,2.12776615e-06,1.00000000e+00,9.93988259e-01,9.94946883e-01,9.99997482e-01
2.80000000e-01,1.00000000e+00,9.94036843e-01,9.94783617e-01,9.99994972e-01,0.00000000e+00,7.06915985e-03,6.17954988e-03,5.94946423e-06,1.00000000e+00,9.91665936e-01,9.92711098e-01,9.99992961e-01
2.84000000e-01,1.00000000e+00,9.91899075e-01,9.92682410e-01,9.99986454e-01,0.00000000e+00,9.61042240e-03,8.67534804e-03,1.60277892e-05,1.00000000e+00,9.88684679e-01,9.89779654e-01,9.99981036e-01
2.88000000e-01,1.00000000e+00,9.89213728e-01,9.90009196e-01,9.99964898e-01,0.00000000e+00,1.28080661e-02,1.18587565e-02,4.15332500e-05,1.00000000e+00,9.84944393e-01,9.86051187e-01,9.99950858e-01
2.92000000e-01,1.00000000e+00,9.85913365e-01,9.86655622e-01,9.99912674e-01,0.00000000e+00,1.67465311e-02,1.58524734e-02,1.03328884e-04,1.00000000e+00,9.80354347e-01,9.81389499e-01,9.99877747e-01
2.96000000e-01,1.00000000e+00,9.81940538e-01,9.82629415e-01,9.99791885e-01,0.00000000e+00,2.15001167e-02,2.06912872e-02,2.46264725e-04,1.00000000e+00,9.74838884e-01,9.75768269e-01,9.99708657e-01
3.00000000e-01,1.00000000e+00,9.77251051e-01,9.77802955e-01,9.99526084e-01,0.00000000e+00,2.71293199e-02,2.64756406e-02,5.60852038e-04,1.00000000e+00,9.68342028e-01,9.69082982e-01,9.99336606e-01
3.04000000e-01,1.00000000e+00,9.71816137e-01,9.72208146e-01,9.98971789e-01,0.00000000e+00,3.36783458e-02,3.32244409e-02,1.21710745e-03,1.00000000e+00,9.60830466e-01,9.61333091e-01,9.98560907e-01
3.08000000e-01,1.00000000e+00,9.65623379e-01,9.65831196e-01,9.97881397e-01,0.00000000e+00,4.11739620e-02,4.09418245e-02,2.50896483e-03,1.00000000e+00,9.52294691e-01,9.52535395e-01,9.97035613e-01
